Date,Open.x,High.x,Low.x,Close.x,Open.y,High.y,Low.y,Close.y
07/02/2012,6772.75,6788.77,6682.89,6754.2,3416.04,3421.64,3379.43,3411.54
08/02/2012,6800.72,6829.88,6735.67,6748.76,3425.41,3439.09,3410,3410
09/02/2012,6782.14,6838.13,6746.1,6788.8,3419.44,3449.24,3412.58,3424.71
10/02/2012,6730.54,6751.08,6649.56,6692.96,3394.92,3409.76,3365.48,3373.14
13/02/2012,6748.68,6774.6,6709.63,6738.47,3406.86,3413.43,3366.32,3384.55
14/02/2012,6712.68,6788.57,6698.32,6728.19,3369.75,3399.97,3362.51,3375.64
15/02/2012,6807.55,6830.1,6736.56,6757.94,3399.37,3419.07,3377.55,3390.35
16/02/2012,6665.24,6751.96,6651.72,6751.96,3366,3393.25,3352.63,3393.25
17/02/2012,6811.02,6874.53,6794.89,6848.03,3425.83,3450.76,3422.21,3439.62
20/02/2012,6892,6956.7,6878.5,6948.3,3463.56,3472.93,3452.7,3472.54
21/02/2012,6936.91,6971.03,6873.54,6908.18,3476.12,3478.01,3440.34,3465.24
22/02/2012,6914.68,6915.18,6821.8,6843.87,3472.76,3478.03,3443.59,3447.37
23/02/2012,6838.94,6903.51,6733.59,6809.46,3437.77,3468.54,3425.02,3447.31
24/02/2012,6871.25,6890.9,6826.34,6864.43,3464.96,3474.55,3451.1,3467.03
27/02/2012,6817.46,6868.58,6743.65,6849.6,3452.01,3452.06,3412.17,3441.45
28/02/2012,6867.23,6900.51,6809.22,6887.63,3455.34,3462.54,3425.73,3453.99
29/02/2012,6914.66,6967.14,6843.27,6856.08,3464.88,3489.48,3447.61,3452.45
01/03/2012,6831.97,6949.45,6817.73,6941.77,3444.53,3500.01,3431.93,3499.73
02/03/2012,6944.45,6954.89,6904.1,6921.37,3504.72,3514.15,3493.79,3501.17
05/03/2012,6876.89,6902.58,6815.47,6866.46,3485.51,3499.25,3462.66,3487.54
06/03/2012,6835.97,6840.33,6633.11,6633.11,3475.43,3475.43,3362.56,3362.56
07/03/2012,6638.48,6682.68,6612.61,6671.11,3364.13,3396.45,3363.28,3392.33
08/03/2012,6723.33,6838.39,6703.89,6834.54,3415.6,3478.36,3410.94,3478.36
09/03/2012,6848.52,6912.42,6830.63,6880.21,3484.59,3507.52,3464.74,3487.48
12/03/2012,6868.97,6911.27,6846.9,6901.35,3473.37,3493.87,3467.61,3490.06
13/03/2012,6957.25,7020.04,6941.96,6995.91,3508.59,3550.58,3508.59,3550.16
14/03/2012,7028.92,7099.34,7028.15,7079.42,3565.65,3585.98,3561.92,3564.51
15/03/2012,7093.97,7153.11,7072.27,7144.45,3559.1,3581.38,3554.45,3580.21
16/03/2012,7145.78,7194.33,7142.75,7157.82,3581.45,3600.48,3574.92,3594.83
19/03/2012,7143.93,7154.83,7095.13,7154.22,3581.48,3581.48,3563.28,3577.88
20/03/2012,7121.92,7124.63,7032.07,7054.94,3563.98,3566.37,3524.02,3530.83
21/03/2012,7088.76,7114.01,7012.04,7071.32,3546.76,3565.3,3504,3527.37
22/03/2012,7053.42,7071.09,6938.2,6981.26,3514.61,3518.59,3457.19,3472.46
23/03/2012,6986.9,7026.9,6908.97,6995.62,3473.34,3490.9,3432.56,3476.18
26/03/2012,7022.64,7102.05,6969.97,7079.23,3495.76,3509.55,3457.8,3501.98
27/03/2012,7106.77,7153.68,7075.16,7078.9,3515.73,3535.6,3465.15,3469.59
28/03/2012,7056.05,7110.54,6998.8,6998.8,3456.07,3484.65,3430.15,3430.15
29/03/2012,6980.09,6993.74,6841.97,6875.15,3426.08,3435.41,3374.69,3381.12
30/03/2012,6924.82,6959.71,6898.91,6946.83,3407.31,3430.32,3396.29,3423.81
02/04/2012,6973.99,7057.2,6911.63,7056.65,3439.17,3462.91,3397.98,3462.91
03/04/2012,7053.91,7081.06,6981.21,6982.28,3464.32,3473.2,3406.78,3406.78
04/04/2012,6940.61,6944.4,6772.95,6784.06,3392.1,3395.34,3310.5,3313.47
05/04/2012,6817.85,6831.36,6685.8,6775.26,3326.31,3338.77,3279.31,3319.81
10/04/2012,6694.72,6737.92,6606.43,6606.43,3274.85,3292.28,3217.6,3217.6
11/04/2012,6628.66,6722.52,6603.07,6674.73,3214.63,3270.91,3205.44,3237.69
12/04/2012,6710.37,6761.78,6651.81,6743.24,3248.22,3277.99,3209.83,3269.79
13/04/2012,6732.07,6743.01,6552.32,6583.9,3264.74,3267.54,3180.19,3189.09
16/04/2012,6556.3,6675.39,6548.39,6625.19,3183.19,3246.08,3182.52,3205.28
17/04/2012,6625.71,6801.15,6616.95,6801,3204.74,3292.51,3196.47,3292.51
18/04/2012,6780.49,6812.84,6718.1,6732.03,3277.07,3291.51,3226.33,3240.29
19/04/2012,6775.46,6807.12,6665.31,6671.22,3252.94,3280.24,3174.02,3174.02
20/04/2012,6689.71,6760.26,6651.8,6750.12,3177.94,3203.69,3155.36,3188.58
23/04/2012,6666.79,6668.12,6499.07,6523,3157.85,3157.85,3088.36,3098.37
24/04/2012,6566.11,6604.54,6508.1,6590.41,3114.71,3176.66,3107.3,3169.32
25/04/2012,6622.96,6733.34,6622.9,6704.5,3177.22,3253.56,3174.02,3233.46
26/04/2012,6702.61,6750.65,6642.04,6739.9,3240.54,3256.93,3189.88,3229.32
